workerID,1257,1042,1065,1188,1117,971,1048,948,1071,1002,1157,1197,1128,979,1028,991,1034,985,1091,1114,951,1154,959,962,1208,1174,1031,1125,1151,1194,988,982,1131,1186,1209,1163,994,1046,1203,954,963,1057,960,1103,1152,1077,1146,1026,977,983,1083,1189,1166,974,1120,1252,1003,966,957,1206,1080,1123,1192,980,1129,986,1115,1044,1161,952,975,969,1167,1021,1004,958,1207,1155,961,1101,989,981,1081,949,1164,1041,1118,1018,1141,995,1072,972,955,1204,1064,1058,1127,1055,1121,992,978,1035,1135,1084,973,1019,1096,1119,967,956,1013,1059,1153,1205,1056,1079,1150,1130,1136,1030,1116,970,976,1047,993,1093,1110,1016,964,1202,1102,1133,990,984,1082,1033
157382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-307.56666667   12.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193838,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-480.68333333    0.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-144.36    0.  ],,,,,,,,,,,,,,,,,,,,,,,,,,,,
158345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-611.33333333   32.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79566,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-1119.94666667    12.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-1139.38333333    19.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-1348.08333333     7.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-398.23333333    1.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-942.63333333   37.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-1496.28333333     5.        ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
